Orbital Period,Planetary Radius,Transit Duration,Transit Depth,Star’s Effective Temperature (Kelvin),Star’s Radius (in solar radii),Star’s Surface Gravity (log10(cm/s²))
0.933749106,3.22,4.256,186.2,6215.0,2.188,3.849
2.037440623,1.19,3.442,118.6,6253.0,1.015,4.415
129995.7784,2.99,9.408,1474.9,4500.0,0.726,4.572
31.5925809,1.78,13.566,145.1,5676.0,1.487,4.1
17.157236,1.55,11.284,110.4,5676.0,1.487,4.1
1.97376085,8.78,1.82542,30222.0,3807.0,0.503,4.762
13.118962443,8.25,4.3045,372.2,7221.0,4.24,3.488
4.618767792,7.48,5.9957,4399.1,6013.0,1.033,4.381
7.82187328,2.78,3.8417,42.2,7221.0,4.24,3.488
53.5057611,2.52,10.5616,195.6,6247.0,1.762,4.016
2.785821236,1.69,3.5599,68.9,6202.0,1.733,4.026
52.56901867,78.54,6.7507,26900.0,7240.0,1.717,4.178
3.411758679,14.71,3.158,570.6,3995.0,0.561,4.71
0.525426427,1.45,1.0801,324.6,5791.0,0.802,4.575
1.269091415,1.41,1.4647,340.9,5041.0,0.766,4.576
2.853133997,1.36,1.465,277.1,5041.0,0.766,4.576
6.79685353,2.01,3.1702,393.1,6061.0,0.97,4.486
8.667822346,67.37,4.9658,2121.9,6266.0,1.889,3.923
1.475323222,5.88,2.3155,154.9,4941.0,4.885,3.317
4.15246118,7.62,2.5755,223.4,4941.0,4.885,3.317
6.7210783,,7.46,,,,
8.7348852,1.59,4.49,270.7,5982.0,0.96,4.493
10.26547688,1.81,3.733,399.6,5699.0,0.853,4.553
13.4471791,5.24,3.0454,1428.2,6276.0,1.041,4.405
3.305577989,25.89,2.5903,17971.0,5534.0,0.707,4.629
4.800653901,16.91,9.0419,15304.0,6715.0,1.241,4.347
15.06649901,56.44,5.9885,36348.0,5751.0,1.626,4.028
34.82008158,11.36,11.1711,18848.0,5114.0,0.784,4.522
0.651784374,33.65,2.0141,2779.3,5555.0,1.061,4.375
1.353771892,430.99,7.012,1349.1,4283.0,15.76,2.012
18.95491633,71.39,24.249,867.5,6362.0,2.534,3.761
4.348866254,2436.69,3.2797,625.6,3598.0,101.451,0.65
47.93094546,68.02,2.6897,2144.4,8214.0,1.938,4.104
3.99751422,2.98,3.686,32.8,5066.0,5.324,3.122
1.592633181,1.56,5.5605,633.1,4506.0,0.651,4.626
